"Časová pečiatka","Vek ","Športová aktivita "
"2021/11/21 12:14:45 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 12:19:03 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:20:06 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 12:21:39 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 12:23:36 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 12:24:56 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 12:25:54 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 12:26:39 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 12:27:55 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 12:31:22 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 12:35:14 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 12:38:02 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 12:38:33 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 12:38:59 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 12:40:38 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 12:40:44 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 12:41:59 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 12:42:48 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:43:17 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 12:43:18 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 12:44:15 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 12:44:26 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 12:45:30 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 12:46:04 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:47:22 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:47:26 PM SEČ","< 20 rokov","1x do týždňa"
"2021/11/21 12:48:34 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 12:49:34 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 12:50:07 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 12:50:58 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:51:30 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 12:51:59 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:53:03 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 12:55:21 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 12:56:09 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 12:56:41 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 12:56:54 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 12:57:35 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 12:58:26 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 12:59:01 PM SEČ","< 20 rokov","1x do týždňa"
"2021/11/21 1:00:11 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 1:00:47 PM SEČ","< 35 rokov","1x do týždňa"
"2021/11/21 1:02:42 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 1:02:46 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/21 1:02:55 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 1:03:47 PM SEČ","< 35 rokov","žiadna"
"2021/11/21 1:04:08 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 1:04:47 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 1:05:06 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 1:05:51 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 1:07:36 PM SEČ","> 45 rokov",">3x do týždňa"
"2021/11/21 1:07:46 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 1:07:50 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 1:08:24 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 1:08:41 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 1:10:19 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 1:10:48 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 1:11:25 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 1:13:34 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 1:14:08 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 1:17:39 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 1:17:49 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 1:18:05 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 1:19:35 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 1:19:43 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 1:21:54 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 1:22:04 PM SEČ","< 35 rokov","2x do týždňa"
"2021/11/21 1:22:55 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 1:24:31 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 1:26:45 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 1:26:55 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 1:27:00 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 1:29:31 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 1:30:14 PM SEČ","< 35 rokov","žiadna"
"2021/11/21 1:30:32 PM SEČ","< 35 rokov","2x do týždňa"
"2021/11/21 1:30:56 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 1:31:21 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 1:32:45 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 1:33:08 PM SEČ","< 20 rokov","2x do týždňa"
"2021/11/21 1:34:16 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 1:34:58 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 1:39:02 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 1:39:49 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 1:39:59 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 1:40:45 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 1:42:45 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 1:45:00 PM SEČ","< 35 rokov","2x do týždňa"
"2021/11/21 1:45:50 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 1:47:21 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 1:49:54 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 1:52:15 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 1:55:18 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 1:56:01 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 2:00:12 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 2:00:59 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 2:03:22 PM SEČ","< 20 rokov","1x do týždňa"
"2021/11/21 2:05:42 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 2:09:49 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 2:11:32 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 2:13:02 PM SEČ","< 35 rokov","1x do týždňa"
"2021/11/21 2:16:40 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 2:18:16 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 2:19:33 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 2:19:47 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 2:24:16 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 2:24:17 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 2:27:02 PM SEČ","< 35 rokov","2x do týždňa"
"2021/11/21 2:29:48 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 2:33:29 PM SEČ","< 35 rokov","žiadna"
"2021/11/21 2:36:24 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/21 2:38:47 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 2:40:10 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 2:48:30 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 2:52:24 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 2:56:32 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 2:59:04 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 2:59:28 PM SEČ","< 45 rokov","žiadna"
"2021/11/21 3:00:09 PM SEČ","< 20 rokov","1x do týždňa"
"2021/11/21 3:02:45 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 3:03:41 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 3:11:41 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 3:11:48 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 3:13:15 PM SEČ","< 18 rokov","1x do týždňa"
"2021/11/21 3:13:30 PM SEČ","< 18 rokov","1x do týždňa"
"2021/11/21 3:13:45 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 3:14:08 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 3:16:56 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 3:22:58 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 3:30:40 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 3:32:59 PM SEČ","< 35 rokov","žiadna"
"2021/11/21 3:35:18 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/21 3:36:33 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 3:43:12 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 3:48:20 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 3:49:29 PM SEČ","< 20 rokov","3x do týždňa"
"2021/11/21 3:56:05 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 3:56:06 PM SEČ","< 35 rokov","1x do týždňa"
"2021/11/21 3:59:37 PM SEČ","< 25 rokov","žiadna"
"2021/11/21 4:16:43 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 4:29:10 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 4:29:45 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/21 4:30:49 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 4:31:28 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 4:53:02 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 4:58:59 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 5:03:15 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 5:08:52 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 5:27:28 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 5:36:34 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 5:40:11 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 5:41:40 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/21 5:48:42 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 5:58:57 PM SEČ","< 35 rokov","žiadna"
"2021/11/21 6:07:33 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 6:07:42 PM SEČ","< 35 rokov","3x do týždňa"
"2021/11/21 6:08:36 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 6:10:49 PM SEČ","< 45 rokov","1x do týždňa"
"2021/11/21 6:25:12 PM SEČ","> 45 rokov",">3x do týždňa"
"2021/11/21 6:25:19 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 6:28:48 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 6:30:34 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 6:36:39 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 6:45:36 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 6:46:55 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 6:55:05 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 6:56:58 PM SEČ","< 35 rokov","2x do týždňa"
"2021/11/21 7:02:30 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 7:16:44 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 7:44:16 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 7:44:43 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 7:44:48 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 7:48:45 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 8:01:26 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 8:07:41 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 8:12:18 PM SEČ","< 20 rokov",">3x do týždňa"
"2021/11/21 8:12:36 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/21 8:19:43 PM SEČ","< 35 rokov","1x do týždňa"
"2021/11/21 8:28:41 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/21 9:17:05 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 9:19:11 PM SEČ","< 23 rokov","žiadna"
"2021/11/21 9:49:37 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/21 10:20:30 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 10:31:52 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/21 11:12:03 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 11:13:16 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 11:19:05 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/21 11:21:03 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/21 11:26:49 PM SEČ","< 25 rokov","2x do týždňa"
"2021/11/21 11:27:20 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 11:30:37 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/21 11:37:44 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/21 11:53:43 PM SEČ","< 23 rokov",">3x do týždňa"
"2021/11/22 12:20:48 AM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 12:51:17 AM SEČ","< 23 rokov","3x do týždňa"
"2021/11/22 1:55:35 AM SEČ","< 25 rokov","1x do týždňa"
"2021/11/22 7:02:41 AM SEČ","< 23 rokov","3x do týždňa"
"2021/11/22 7:09:55 AM SEČ","< 23 rokov","3x do týždňa"
"2021/11/22 7:18:29 AM SEČ","< 20 rokov","3x do týždňa"
"2021/11/22 7:31:34 AM SEČ","< 18 rokov","3x do týždňa"
"2021/11/22 7:48:24 AM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 8:20:33 AM SEČ","< 25 rokov","3x do týždňa"
"2021/11/22 8:54:25 AM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 9:01:47 AM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 9:20:00 AM SEČ","< 35 rokov","žiadna"
"2021/11/22 10:58:33 AM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 11:27:57 AM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/22 11:52:37 AM SEČ","< 18 rokov","žiadna"
"2021/11/22 12:31:18 PM SEČ","< 20 rokov",">3x do týždňa"
"2021/11/22 12:33:25 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 12:45:40 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/22 1:09:57 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 2:28:56 PM SEČ","< 23 rokov","žiadna"
"2021/11/22 3:06:21 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 3:33:25 PM SEČ","< 23 rokov","žiadna"
"2021/11/22 4:05:17 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/22 4:30:27 PM SEČ","< 23 rokov","1x do týždňa"
"2021/11/22 5:07:19 PM SEČ","< 20 rokov","žiadna"
"2021/11/22 5:09:52 PM SEČ","< 25 rokov",">3x do týždňa"
"2021/11/22 5:28:06 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/22 6:09:32 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/22 6:25:17 PM SEČ","< 25 rokov","žiadna"
"2021/11/22 9:06:43 PM SEČ","< 20 rokov",">3x do týždňa"
"2021/11/22 9:14:58 PM SEČ","< 25 rokov","1x do týždňa"
"2021/11/22 9:37:10 PM SEČ","< 25 rokov","žiadna"
"2021/11/22 10:02:32 PM SEČ","< 35 rokov",">3x do týždňa"
"2021/11/22 10:08:18 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/23 12:42:54 AM SEČ","< 23 rokov","žiadna"
"2021/11/23 4:39:16 AM SEČ","< 35 rokov","2x do týždňa"
"2021/11/23 5:40:29 AM SEČ","< 25 rokov","1x do týždňa"
"2021/11/23 6:52:16 AM SEČ","< 35 rokov","žiadna"
"2021/11/23 8:53:24 AM SEČ","< 45 rokov","žiadna"
"2021/11/23 9:07:11 AM SEČ","< 25 rokov","žiadna"
"2021/11/23 1:11:14 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/23 1:51:21 PM SEČ","< 20 rokov",">3x do týždňa"
"2021/11/23 3:20:09 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/23 7:50:17 PM SEČ","< 20 rokov","2x do týždňa"
"2021/11/23 9:30:07 PM SEČ","< 23 rokov","3x do týždňa"
"2021/11/23 10:21:39 PM SEČ","< 25 rokov","žiadna"
"2021/11/23 10:45:09 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/23 10:49:35 PM SEČ","< 35 rokov","žiadna"
"2021/11/24 12:08:14 AM SEČ","< 25 rokov","žiadna"
"2021/11/24 12:19:32 AM SEČ","< 23 rokov","1x do týždňa"
"2021/11/24 9:55:13 AM SEČ","< 20 rokov","1x do týždňa"
"2021/11/24 11:17:19 AM SEČ","< 23 rokov","3x do týždňa"
"2021/11/24 3:37:51 PM SEČ","< 20 rokov","3x do týždňa"
"2021/11/24 4:36:49 PM SEČ","< 23 rokov","2x do týždňa"
"2021/11/24 4:49:43 PM SEČ","< 35 rokov","3x do týždňa"
"2021/11/24 7:43:31 PM SEČ","< 25 rokov","3x do týždňa"
"2021/11/25 5:30:20 AM SEČ","< 23 rokov","žiadna"
"2021/11/25 8:45:13 PM SEČ","< 23 rokov","žiadna"
"2021/11/28 1:08:12 AM SEČ","< 25 rokov","2x do týždňa"
"2021/11/28 8:49:36 PM SEČ","< 25 rokov","2x do týždňa"
"2021/12/03 2:51:12 AM SEČ","< 25 rokov","žiadna"
"2021/12/08 2:07:20 PM SEČ","< 23 rokov","1x do týždňa"